u_precision,u_recall,u_rmse,n_t,n_p,model,structure,level
0.6666666666666666,1.0,0.0,2,3,nafnet,cro2_Vacancy-Anion-03.png,4
0.5,1.0,,1,2,nafnet,cro2_Vacancy-Anion-03.png,8
0.6666666666666666,1.0,0.7071067811865476,2,3,nafnet,cro2_Vacancy-Anion-03.png,12
0.6666666666666666,1.0,0.0,2,3,nafnet,cro2_Vacancy-Anion-03.png,16
1.0,1.0,0.0,1,1,nafnet,cro2_Vacancy-Anion-03.png,20
0.8,1.0,0.0,3,5,nafnet,cro2_Vacancy-Anion-03.png,28
,,,0,2,nafnet,cro2_Vacancy-Anion-03.png,36
0.4,1.0,0.0,2,5,restormer,vo2_Vacancy-Anion-03.png,1
0.8,1.0,0.5773502691896257,3,5,restormer,vo2_Vacancy-Anion-03.png,2
0.3333333333333333,1.0,0.0,1,3,restormer,vo2_Vacancy-Anion-03.png,4
0.0,1.0,,1,1,restormer,vo2_Vacancy-Anion-03.png,8
0.5,1.0,0.7071067811865476,2,4,restormer,vo2_Vacancy-Anion-03.png,12
0.6666666666666666,1.0,0.7071067811865476,2,3,restormer,vo2_Vacancy-Anion-03.png,16
0.6666666666666666,1.0,0.0,1,3,restormer,vo2_Vacancy-Anion-03.png,20
0.3333333333333333,1.0,0.0,2,3,restormer,vo2_Vacancy-Anion-03.png,28
1.0,1.0,0.0,1,1,restormer,vo2_Vacancy-Anion-03.png,36
0.6666666666666666,1.0,0.0,2,3,restormer,mno2_Defect-Free.png,1
0.8,1.0,0.7071067811865476,4,5,restormer,mno2_Defect-Free.png,2
0.5,1.0,0.0,3,2,restormer,mno2_Defect-Free.png,4
0.5,1.0,0.0,1,2,restormer,mno2_Defect-Free.png,8
1.0,1.0,0.0,2,2,restormer,mno2_Defect-Free.png,12
1.0,1.0,0.0,2,1,restormer,mno2_Defect-Free.png,16
0.5,1.0,0.0,1,2,restormer,mno2_Defect-Free.png,20
1.0,1.0,0.0,1,2,restormer,mno2_Defect-Free.png,28
0.6666666666666666,1.0,0.0,3,3,restormer,mno2_Defect-Free.png,36
0.9629629629629629,0.8333333333333334,0.6324555320336759,30,27,restormer,mos2-A_Adatom-Li.png,1
0.96875,0.9705882352941176,0.5956833971812706,34,32,restormer,mos2-A_Adatom-Li.png,2
0.9459459459459459,0.9459459459459459,0.6183469424008423,37,37,restormer,mos2-A_Adatom-Li.png,4
0.9259259259259259,0.8214285714285714,0.7223151185146152,28,27,restormer,mos2-A_Adatom-Li.png,8
