structure,op,level,family,h,w,mean,std,min,max,frac_sat
vse2-B_Adatom-Na.png,B,20,vse2,670,580,54.20713806152344,31.648330688476562,0.0,255.0,2.573340195573855e-06
vse2-B_Anti-2M.png,B,20,vse2,670,580,91.32736206054688,47.77323913574219,0.0,255.0,2.573340195573855e-06
vse2-B_Anti-Anion.png,B,20,vse2,670,580,89.8981704711914,46.992610931396484,0.0,255.0,5.14668039114771e-06
vse2-B_Anti-Metal.png,B,20,vse2,670,580,91.4573745727539,47.796573638916016,0.0,255.0,2.573340195573855e-06
vse2-B_Defect-Free.png,B,20,vse2,670,580,65.990234375,41.48684310913086,0.0,255.0,2.573340195573855e-06
vse2-B_Int-Anion.png,B,20,vse2,670,580,73.4676513671875,54.08949279785156,0.0,255.0,2.573340195573855e-06
vse2-B_Int-Metal.png,B,20,vse2,670,580,65.42371368408203,45.566856384277344,0.0,255.0,7.720020586721564e-06
vse2-B_Mo_adatom.png,B,20,vse2,670,580,51.27233123779297,30.143802642822266,0.0,255.0,2.573340195573855e-06
vse2-B_Nb_adatom.png,B,20,vse2,670,580,46.27499771118164,25.802593231201172,0.0,255.0,2.573340195573855e-06
vse2-B_V_adatom.png,B,20,vse2,670,580,67.70272827148438,37.79378128051758,0.0,255.0,2.573340195573855e-06
vse2-B_Vacancy-Anion-03.png,B,20,vse2,670,580,68.83268737792969,52.916831970214844,0.0,255.0,2.573340195573855e-06
vse2-B_Vacancy-Anion-06A.png,B,20,vse2,670,580,63.083675384521484,40.01335144042969,0.0,255.0,2.573340195573855e-06
vse2-B_Vacancy-Anion-06B.png,B,20,vse2,670,580,74.095458984375,52.21023941040039,0.0,255.0,5.14668039114771e-06
vse2-B_Vacancy-Anion-09A.png,B,20,vse2,670,580,86.23709869384766,51.33799743652344,0.0,255.0,2.573340195573855e-06
vse2-B_Vacancy-Anion-09B.png,B,20,vse2,670,580,85.9923324584961,51.51028060913086,0.0,255.0,2.573340195573855e-06
vse2-B_Vacancy-Anion-12A.png,B,20,vse2,670,580,87.83287811279297,50.82622146606445,0.0,255.0,2.573340195573855e-06
vse2-B_Vacancy-Anion-12B.png,B,20,vse2,670,580,63.54608154296875,43.496212005615234,0.0,255.0,2.573340195573855e-06
vse2-B_Vacancy-Metal.png,B,20,vse2,670,580,90.7894515991211,52.33335494995117,0.0,255.0,2.573340195573855e-06
vte2_Adatom-Li.png,B,20,vte2,718,622,63.207275390625,42.93475341796875,0.0,255.0,2.2391602253490853e-06
vte2_Adatom-Na.png,B,20,vte2,718,622,64.6711196899414,43.66316604614258,0.0,255.0,2.2391602253490853e-06
vte2_Anti-Anion.png,B,20,vte2,718,622,50.16279602050781,40.679866790771484,0.0,255.0,4.4783204506981705e-06
vte2_Anti-Metal.png,B,20,vte2,718,622,80.52801513671875,47.28618240356445,0.0,255.0,2.2391602253490853e-06
vte2_Defect-Free.png,B,20,vte2,718,622,61.20443344116211,42.206295013427734,0.0,255.0,2.2391602253490853e-06
vte2_Mo_adatom.png,B,20,vte2,718,622,63.44329071044922,41.429134368896484,0.0,255.0,2.2391602253490853e-06
vte2_Nb_adatom.png,B,20,vte2,718,622,58.71699523925781,40.680484771728516,0.0,255.0,6.717480676047255e-06
vte2_V_adatom.png,B,20,vte2,718,622,66.01856231689453,54.482818603515625,0.0,255.0,2.2391602253490853e-06
vte2_Vacancy-Anion-03.png,B,20,vte2,718,622,70.83745574951172,47.90081024169922,0.0,255.0,2.2391602253490853e-06
vte2_Vacancy-Anion-06A.png,B,20,vte2,718,622,67.15892791748047,48.899723052978516,0.0,255.0,4.4783204506981705e-06
vte2_Vacancy-Anion-06B.png,B,20,vte2,718,622,51.08503341674805,44.11407470703125,0.0,255.0,4.4783204506981705e-06
vte2_Vacancy-Anion-09A.png,B,20,vte2,718,622,73.15426635742188,49.068782806396484,0.0,255.0,4.4783204506981705e-06
vte2_Vacancy-Anion-09B.png,B,20,vte2,718,622,54.949554443359375,50.593772888183594,0.0,255.0,4.4783204506981705e-06
vte2_Vacancy-Anion-12A.png,B,20,vte2,718,622,53.954429626464844,48.71082305908203,0.0,255.0,2.2391602253490853e-06
vte2_Vacancy-Anion-12B.png,B,20,vte2,718,622,62.32356643676758,48.2110595703125,0.0,255.0,4.4783204506981705e-06
vte2_Vacancy-Metal.png,B,20,vte2,718,622,56.340057373046875,44.406402587890625,0.0,255.0,2.2391602253490853e-06
ws2-A_Anti-Anion.png,B,20,ws2,637,552,61.69205093383789,47.957359313964844,0.0,255.0,2.8439469433258253e-06
ws2-A_Anti-Metal.png,B,20,ws2,637,552,46.58478546142578,37.22199630737305,0.0,255.0,8.531840829977476e-06
ws2-A_Cr_doped.png,B,20,ws2,637,552,57.50202941894531,48.5841064453125,0.0,255.0,2.8439469433258253e-06
ws2-A_Defect-Free.png,B,20,ws2,637,552,17.07184600830078,24.283294677734375,0.0,255.0,2.8439469433258253e-06
ws2-A_Doped-O.png,B,20,ws2,637,552,45.04220962524414,45.98673629760742,0.0,255.0,2.8439469433258253e-06
ws2-A_Mo_doped.png,B,20,ws2,637,552,17.669363021850586,24.018272399902344,0.0,255.0,2.8439469433258253e-06
ws2-A_Re_doped.png,B,20,ws2,637,552,16.32851791381836,22.427448272705078,0.0,255.0,5.687893886651651e-06
ws2-A_Vacancy-Anion-03.png,B,20,ws2,637,552,60.124473571777344,47.2202262878418,0.0,255.0,2.8439469433258253e-06
ws2-A_Vacancy-Anion-06A.png,B,20,ws2,637,552,57.666141510009766,49.202476501464844,0.0,255.0,5.687893886651651e-06
ws2-A_Vacancy-Anion-06B.png,B,20,ws2,637,552,51.61945724487305,47.096839904785156,0.0,255.0,2.8439469433258253e-06
ws2-A_Vacancy-Metal.png,B,20,ws2,637,552,58.82804489135742,47.62395477294922,0.0,255.0,2.8439469433258253e-06
ws2-B_Anti-Anion.png,B,20,ws2,637,552,54.49100112915039,46.935611724853516,0.0,255.0,2.8439469433258253e-06
ws2-B_Anti-Metal.png,B,20,ws2,637,552,39.19683074951172,39.45494842529297,0.0,255.0,2.8439469433258253e-06
ws2-B_Cr_doped.png,B,20,ws2,637,552,16.75729751586914,24.26498794555664,0.0,255.0,2.8439469433258253e-06
ws2-B_Defect-Free.png,B,20,ws2,637,552,47.21533203125,45.33206558227539,0.0,255.0,2.8439469433258253e-06
ws2-B_Doped-O.png,B,20,ws2,637,552,56.68889617919922,44.19221878051758,0.0,255.0,2.8439469433258253e-06
ws2-B_Mo_doped.png,B,20,ws2,637,552,56.96379089355469,44.88590621948242,0.0,255.0,2.8439469433258253e-06
ws2-B_Re_doped.png,B,20,ws2,637,552,48.1019172668457,39.522823333740234,0.0,255.0,2.8439469433258253e-06
ws2-B_Vacancy-Anion-03.png,B,20,ws2,637,552,44.67107009887695,46.90605926513672,0.0,255.0,2.8439469433258253e-06
ws2-B_Vacancy-Anion-06A.png,B,20,ws2,637,552,65.66549682617188,45.023231506347656,0.0,255.0,5.687893886651651e-06
